REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14RCH,ACW,ACH
19562,29.77936,32.9403,7,5.50000000000,0.40000000000
19563,29.40843,32.9308,7,5.50000000000,0.40000000000
19564,30.83006,32.9125,7,5.50000000000,0.40000000000
19565,30.82637,32.8996,7,5.50000000000,0.40000000000
19566,29.08286,32.8906,7,5.50000000000,0.40000000000
19567,30.81383,32.8811,7,5.50000000000,0.40000000000
19568,29.35175,32.8545,7,5.50000000000,0.40000000000
19569,30.80244,32.8376,7,5.50000000000,0.40000000000
19570,30.98237,32.8203,7,5.50000000000,0.40000000000
19571,29.34352,32.8015,7,5.50000000000,0.40000000000
19572,30.80321,32.7921,7,5.50000000000,0.40000000000
19573,30.20847,32.7716,7,5.50000000000,0.40000000000
19574,29.42204,32.7610,7,5.50000000000,0.40000000000
19575,29.03821,32.7504,7,5.50000000000,0.40000000000
19576,30.02589,32.7162,7,5.50000000000,0.40000000000
19577,30.37937,32.6703,7,5.50000000000,0.40000000000
19578,31.00230,32.6371,7,5.50000000000,0.40000000000
19579,30.45645,32.6138,7,5.50000000000,0.40000000000
19580,28.86644,32.6032,7,5.50000000000,0.40000000000
19581,30.68654,32.5941,7,5.50000000000,0.40000000000
19582,30.31810,32.5779,7,5.50000000000,0.40000000000
19583,30.85657,32.5543,7,5.50000000000,0.40000000000
19584,30.40088,32.5360,7,5.50000000000,0.40000000000
19585,29.65529,32.5209,7,5.50000000000,0.40000000000
19586,30.53403,32.4758,7,5.50000000000,0.40000000000
19587,30.33947,32.4689,7,5.50000000000,0.40000000000
19588,29.91802,32.4432,7,5.50000000000,0.40000000000
19589,29.59956,32.4079,7,5.50000000000,0.40000000000
19590,29.71895,32.3789,7,5.50000000000,0.40000000000
19591,31.07550,32.2855,7,5.50000000000,0.40000000000
19592,29.90043,32.2735,7,5.50000000000,0.40000000000
19593,29.35759,32.2623,7,5.50000000000,0.40000000000
19594,29.08461,32.2509,7,5.50000000000,0.40000000000
19595,30.73674,32.2416,7,5.50000000000,0.40000000000
19596,30.80046,32.2234,7,5.50000000000,0.40000000000
19597,29.15501,32.2122,7,5.50000000000,0.40000000000
